Case ID,Activity,Timestamp,Resource,issue_sentiment,issue_emotion,issue_user_type,pr_user_type,issue_labels
545264012,PR Updated,2020-03-11 10:51:33+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:XS"
545264012,PR Closed,2020-03-11 10:51:33+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:XS"
545291448,Issue Created,2020-01-04 14:31:33+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545291448,PR Created,2020-01-04 14:31:33+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545291448,Issue Updated,2020-03-12 11:03:00+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545291448,Issue Closed,2020-03-12 11:03:00+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545291448,PR Updated,2020-03-12 11:03:00+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545291448,PR Closed,2020-03-12 11:03:00+00:00,am15h,-0.6597,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:lite,size:L"
545726184,Issue Created,2020-01-06 13:27:28+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545726184,PR Created,2020-01-06 13:27:28+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545726184,Issue Closed,2020-01-16 06:13:21+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545726184,PR Closed,2020-01-16 06:13:21+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545726184,Issue Updated,2020-01-22 14:23:30+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545726184,PR Updated,2020-01-22 14:23:30+00:00,mrinalTheCoder,0.0,neutral,User,User,"cla: yes,ready to pull,comp:keras,size:XS"
545768192,Issue Created,2020-01-06 14:54:55+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545768192,PR Created,2020-01-06 14:54:55+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545768192,Issue Closed,2020-01-16 19:20:51+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545768192,PR Closed,2020-01-16 19:20:51+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545768192,Issue Updated,2020-01-16 19:20:52+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545768192,PR Updated,2020-01-16 19:20:52+00:00,lc0,0.4404,joy,User,User,"cla: yes,ready to pull,comp:apis,size:S"
545972928,Issue Created,2020-01-06 22:26:32+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
545972928,PR Created,2020-01-06 22:26:32+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
545972928,Issue Closed,2020-01-23 00:15:26+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
545972928,PR Closed,2020-01-23 00:15:26+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
545972928,Issue Updated,2020-01-23 19:34:00+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
545972928,PR Updated,2020-01-23 19:34:00+00:00,bas-aarts,-0.6705,sadness,User,User,"cla: yes,ready to pull,comp:xla,size:M"
546013563,Issue Created,2020-01-07 00:39:44+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546013563,PR Created,2020-01-07 00:39:44+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546013563,Issue Closed,2020-01-30 23:47:47+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546013563,PR Closed,2020-01-30 23:47:47+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546013563,Issue Updated,2020-04-02 21:32:37+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546013563,PR Updated,2020-04-02 21:32:37+00:00,deven-amd,0.296,neutral,User,User,"cla: yes,ready to pull,comp:gpu,size:M"
546241974,Issue Created,2020-01-07 11:52:01+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546241974,PR Created,2020-01-07 11:52:01+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546241974,Issue Closed,2020-03-09 10:57:11+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546241974,PR Closed,2020-03-09 10:57:11+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546241974,Issue Updated,2020-03-09 16:12:37+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546241974,PR Updated,2020-03-09 16:12:37+00:00,generationzcode,0.0,neutral,User,User,"cla: yes,stat:awaiting response,stale,comp:keras,size:S"
546280661,Issue Created,2020-01-07 13:23:21+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546280661,PR Created,2020-01-07 13:23:21+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546280661,Issue Closed,2020-01-21 22:56:16+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546280661,PR Closed,2020-01-21 22:56:16+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546280661,Issue Updated,2020-10-29 08:04:21+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546280661,PR Updated,2020-10-29 08:04:21+00:00,freddan80,0.5574,neutral,User,User,"cla: yes,ready to pull,size:M,comp:micro"
546367522,Issue Created,2020-01-07 16:05:36+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546367522,PR Created,2020-01-07 16:05:36+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546367522,Issue Updated,2020-05-05 03:26:52+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546367522,Issue Closed,2020-05-05 03:26:52+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546367522,PR Updated,2020-05-05 03:26:52+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546367522,PR Closed,2020-05-05 03:26:52+00:00,georgepaw,0.8271,neutral,User,User,"cla: yes,stat:awaiting response,stale,size:S"
546573237,Issue Created,2020-01-08 00:08:49+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546573237,PR Created,2020-01-08 00:08:49+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546573237,Issue Closed,2020-01-09 17:53:02+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546573237,PR Closed,2020-01-09 17:53:02+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546573237,Issue Updated,2020-01-10 00:18:38+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546573237,PR Updated,2020-01-10 00:18:38+00:00,pbaranay,-0.4215,neutral,User,User,"cla: yes,ready to pull,size:XS,prtype:bugfix"
546636541,Issue Created,2020-01-08 04:21:18+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546636541,PR Created,2020-01-08 04:21:18+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546636541,Issue Closed,2020-01-12 15:09:47+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546636541,PR Closed,2020-01-12 15:09:47+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546636541,Issue Updated,2020-01-13 00:21:53+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546636541,PR Updated,2020-01-13 00:21:53+00:00,rohanreddych,0.0,neutral,User,User,"cla: yes,size:S"
546729700,Issue Created,2020-01-08 09:04:33+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546729700,PR Created,2020-01-08 09:04:33+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546729700,Issue Updated,2020-04-01 18:01:43+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546729700,Issue Closed,2020-04-01 18:01:43+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546729700,PR Updated,2020-04-01 18:01:43+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546729700,PR Closed,2020-04-01 18:01:43+00:00,ekuznetsov139,0.0,neutral,User,User,"cla: yes,ready to pull,size:L"
546803644,Issue Created,2020-01-08 11:27:55+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546803644,PR Created,2020-01-08 11:27:55+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546803644,Issue Updated,2020-01-24 05:05:19+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546803644,Issue Closed,2020-01-24 05:05:19+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546803644,PR Updated,2020-01-24 05:05:19+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546803644,PR Closed,2020-01-24 05:05:19+00:00,giorgio-arenarm,0.5423,neutral,User,User,"cla: yes,comp:lite,ready to pull,size:L,comp:micro"
546806717,Issue Created,2020-01-08 11:34:33+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
546806717,PR Created,2020-01-08 11:34:33+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
546806717,Issue Updated,2020-04-07 18:06:22+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
546806717,Issue Closed,2020-04-07 18:06:22+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
546806717,PR Updated,2020-04-07 18:06:22+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
546806717,PR Closed,2020-04-07 18:06:22+00:00,qiuxiafei,0.0,neutral,User,User,"cla: yes,API review,size:XL,comp:core"
